Time,Set1.csv_mean,Set1.csv_var,Set2.csv_mean,Set2.csv_var,Set3.csv_mean,Set3.csv_var,Set4.csv_mean,Set4.csv_var,Set5.csv_mean,Set5.csv_var,Total_mean,Total_var,Tesse_mean,Tesse_var,Socio_mean,Socio_var
0,0.7617712391414209,0.07833082744089051,0.7120418222547087,0.04515567779713076,0.5856685636660932,0.38966107689875523,1.3957722469385847,0.360798002457603,0.19945026310040898,0.07429169733339243,3.6547041351012166,0.5217457925207845,3.0690355714351236,0.3704289398465607,1.6732633244965383,0.11063391156173598
5,0.7773955858417091,0.05087046424012599,0.7555758297022724,0.026948766813740407,9.023849530513193,1.0371858230071778,3.7125192523190442,0.3572508045974879,0.7754477303658234,0.0910836898123515,15.044787928742037,1.145289480128244,6.02093839822885,0.35816250808290884,2.3084191459098053,0.09826338885235941
10,0.7740981287389436,0.045870525995153594,0.7550052256386374,0.02225174894958019,7.8551151749497174,0.5145241942000208,3.533540427391935,0.1723742499532468,0.8610345691955508,0.046277087480939796,13.778793525914786,0.5524684242321486,5.923678350965067,0.18208740635379922,2.390137923573133,0.06419292897615507
15,0.7721027242998114,0.03538562413411498,0.7722001173826208,0.019455743378193974,8.06210559376726,0.4563409719548395,3.3877146745716553,0.10727693950435564,0.8782958245099822,0.03592660092517118,13.872418934531337,0.4882117644915372,5.810313340764072,0.1284619149707673,2.422598666192415,0.0541112621791657
20,0.7728894681903529,0.031192639002257567,0.7673334691819843,0.018688428346439825,8.111763627053351,0.4767698301700017,3.36496062856608,0.08199275086611854,0.867628614943689,0.025019802801534943,13.884575807935454,0.5031420153900283,5.772812180882108,0.0981810594504975,2.4078515523160267,0.04868315296756616
25,0.7784637930393805,0.03191851008140982,0.762256492727924,0.016448223139857505,8.364307457360068,0.5470345972318941,3.340398174757845,0.07194216260706507,0.8729736075459278,0.024359832564888603,14.118399525431146,0.5703103243394707,5.7540920680710785,0.09107591482455644,2.413693893313233,0.0485497008666964
30,0.77602340192294,0.02845881946326614,0.7576456075988386,0.015164914849851593,8.50242460922433,0.5649851847318673,3.3447063457141364,0.0650260272149781,0.8726760343100164,0.023002325752655157,14.253475998770261,0.5931227792247274,5.751051389545931,0.08711399942002884,2.4063450438317937,0.04564977221266605
35,0.780367326079872,0.02707856032446051,0.7596525694188332,0.014350977163785264,8.621276751535596,0.5766692621362624,3.3343789900147844,0.060217635421189304,0.883977549677779,0.021659684634317344,14.379653186726868,0.5983474280613036,5.758376435191269,0.07972588449358299,2.4239974451764836,0.04266170675334992
40,0.7875787961024983,0.027202178650045532,0.7654822126873025,0.014348453329619494,8.802245333943862,0.6187262303061529,3.3068919409937547,0.05726957488894074,0.8846389770877215,0.01936035913525636,14.546837260815133,0.6426324011156584,5.7445919268712755,0.07393195506419804,2.4376999858775235,0.0418651575745393
45,0.7831511439825134,0.02654069693591446,0.7682808082615693,0.01402763020194869,9.034278901170156,0.635078900554473,3.3161304267408123,0.05619854455828908,0.8924381895214802,0.019342709027334423,14.794279469676535,0.6547275031371547,5.760000568506376,0.0697645411496923,2.4438701417655624,0.039887286307709685
50,0.7887163635220972,0.0272375539616277,0.769492696566113,0.01361877571864435,9.242562573270911,0.6545985305430478,3.338937504282802,0.05614468358707813,0.8987610104180539,0.018473875518527503,15.038470148059973,0.6753892733983184,5.7959075747890685,0.06816673260290626,2.456970070506263,0.040618444050074205
55,0.7876105356753134,0.025374358473646913,0.7673260328695699,0.012994111808628608,9.38924556674215,0.6865750470182395,3.36897592847217,0.05786697305960265,0.8977050040064404,0.017794326529876232,15.210863067765649,0.7080355455597763,5.821617501023494,0.06888888674252319,2.4526415725513258,0.037868981948032655
60,0.789610414912026,0.02425803989274541,0.7667222004694654,0.012059779189174325,9.61412264580625,0.7132565864824043,3.3888434509390435,0.05839276497952069,0.8960457144808274,0.016766840147661576,15.455344426607617,0.7365668297438981,5.841221780801359,0.06829899926010444,2.4523783298623183,0.03594682016693759
65,0.797300872097001,0.022767053375082592,0.7663277476682652,0.011584478852322447,9.791665340440806,0.7492076377030645,3.390592781919929,0.05854232323136238,0.8956477425520704,0.01652413897404248,15.641534484678074,0.7740405309138135,5.849869144237269,0.06686625965137949,2.4592763623173366,0.03375965248053722
70,0.7978949182700312,0.022660317648219266,0.7652001675204384,0.01081149645758558,9.912746275290298,0.771215724243441,3.3987092552091327,0.05984645597219806,0.8944213917717927,0.01589697793644323,15.768972008061692,0.7970612904965976,5.856225732771396,0.06839112565448457,2.4575164775622613,0.03273759051306595
75,0.7934826807062224,0.021425085283986484,0.7640897213843086,0.010258106065266169,10.061932325524367,0.796561958706533,3.4024038570936184,0.05892873754893164,0.8923001614841299,0.014785811204077362,15.914208746192646,0.8230964214378217,5.852276420668281,0.06653417939857567,2.449872563574661,0.030862946170502656
80,0.793301724554359,0.02068000884848318,0.7640213657355823,0.009568414713405611,10.182236597860863,0.8291658409463913,3.4063297998548587,0.059846288416614594,0.8947527595196514,0.014265693825393175,16.040642247525312,0.856164165505523,5.8584056496644505,0.06596165960907398,2.4520758498095936,0.02925062772899663
85,0.7915950339341814,0.019853993151714416,0.763758989897361,0.009482810211307507,10.319865584126559,0.8664282809646152,3.404656434128475,0.05864381894033122,0.8959697204699382,0.013919713505604893,16.175845762556516,0.8922391685826944,5.855980178429954,0.06373550077302968,2.451323744301481,0.02867259120418346
90,0.7926875248464403,0.019366901552917704,0.7622238861106246,0.009199758879584389,10.43131806231794,0.8981858729603731,3.411042629442602,0.05612902215351792,0.8967036915392194,0.013999372112622364,16.293975794256824,0.9230121119960095,5.862657731938887,0.06139164149541955,2.4516151024962856,0.02775871280591599
95,0.7919355732220583,0.018765400346105725,0.7631128423053637,0.008959992055356648,10.557439135613425,0.9269093192208597,3.406877086279896,0.055189054007449424,0.8956162517966165,0.013777914475602672,16.414980889217368,0.9493442126923294,5.857541753603935,0.06020751019725065,2.4506646673240393,0.0276297938800876
100,0.7933735214960709,0.018400870201951178,0.7627651401398322,0.008333434397534022,10.652714874479699,0.9461311444915723,3.412794627066515,0.05274538730707738,0.8958692848788148,0.013174041611334484,16.517517448060925,0.9662351340790264,5.864802573581234,0.05801149818011531,2.4520079465147178,0.026467265539476422
105,0.7954764588526119,0.01833875443309696,0.7652067411253597,0.008084370390154654,10.769212077797656,0.9678055800140717,3.4044691465546255,0.052010191757632905,0.8975716680286595,0.01264084164993686,16.63193609235891,0.9851380033145565,5.86272401456126,0.05680180199161184,2.4582548680066303,0.02577648423712239
110,0.7963211204309693,0.017959279456191857,0.7668572039591102,0.007660137886535177,10.884868466272003,0.9767333323473958,3.4107270390956392,0.05000550259649747,0.8958804434428816,0.012371415191405269,16.754654273200604,0.9907747784062495,5.869785806928598,0.054427664251636684,2.459058767832962,0.025417403732610058
115,0.799352161536357,0.017339162865368008,0.7661365558661677,0.007596776003831629,11.005071438111559,1.006311989035984,3.419916973211948,0.05372434158963414,0.8959891133118796,0.011880119950524966,16.88646624203791,1.017938314898199,5.881394803926352,0.05738918611481961,2.461477830714403,0.024426731461022498
120,0.7965092613478523,0.016750012920951858,0.7663551130691408,0.0073146938318529205,11.060836313110118,1.00925590281346,3.4284837587201284,0.05505726284576563,0.8959370150170523,0.011366352959984114,16.948121461264286,1.020422332880181,5.887285148154171,0.05937059090149121,2.4588013894340452,0.023383941940820982
125,0.7995062819628573,0.016840127478865416,0.7672534853457202,0.007233608337740235,11.133795298394757,1.0168777768376793,3.4284761874006713,0.05720372459659431,0.896115037657396,0.011185904474568893,17.02514629076139,1.0262895067465854,5.891350992366641,0.060451655297943704,2.462874804965974,0.02354711116899644
130,0.8010561399626943,0.01707586193838421,0.7697249393663036,0.007453927397861799,11.20234386470536,1.0184954961559192,3.428000519252722,0.05680313310757607,0.8975879125006196,0.010983491399356343,17.0987133757877,1.027798188324571,5.896369511082339,0.06040404287178928,2.4683689918296174,0.023245402768838686
135,0.7999703633889346,0.016390644584605808,0.770167576161603,0.007242095873806693,11.282065488881466,1.0285311244230497,3.4313771475942727,0.055749412655427086,0.8967818317170883,0.010783762065648529,17.18036240774337,1.0376471621095613,5.8982969188619,0.05979555106826304,2.466919771267627,0.022746508575252934
140,0.7990323996684843,0.01587079127545013,0.7718091382999107,0.007413230840306611,11.362246158060099,1.029349958249116,3.432451553674169,0.05750814269620303,0.8971516645159768,0.01065086449862497,17.26269091421862,1.0380871346538514,5.900444756158542,0.061602699960112785,2.467993202484372,0.022126153205797614
145,0.7995716392833486,0.015537613091977839,0.7713887742899829,0.007248455533438779,11.436787650994948,1.0267519504394242,3.43338148854616,0.059445978072583595,0.8975591896914437,0.010462270941036241,17.338688742805886,1.0365383686624867,5.9019010918109345,0.06354206752817615,2.468519603264774,0.02153199735725407
150,0.800877620243551,0.015222647778339272,0.7693827597334747,0.007177784643974661,11.486288321714634,1.0241348177249252,3.4361924070667085,0.05942257572571204,0.8973384295882533,0.010372444883716228,17.39007953834662,1.0334880630133016,5.903791216631988,0.0628389214516662,2.46759880956528,0.020952706900148367
155,0.8016568798719055,0.015346714625038829,0.7702433548398072,0.007006307614707337,11.579656672357089,1.0342617301111865,3.4387849117671005,0.05809495659166125,0.8981022981454152,0.01013693354195174,17.488444116981313,1.042888201870467,5.908787444624229,0.061073400422165226,2.4700025328571273,0.020730060152384967
160,0.8006070796162952,0.015019134195339378,0.7705263788706702,0.006741212073638634,11.672961179324272,1.0413550686546285,3.439242095688964,0.058808593250178634,0.8979511661681895,0.010128852600124668,17.5812878996684,1.0499396352954853,5.908326720344119,0.061958845537428975,2.4690846246551543,0.020457505659668175
165,0.8003526416610317,0.015263384172276193,0.7697445415281937,0.006681957241062842,11.77809887940307,1.0470211811401213,3.438478786248911,0.05800296140098422,0.896956372490563,0.009929245701304745,17.683631221331773,1.0562209167176508,5.9055323419287005,0.061161963630525,2.4670535556797875,0.020517728617446614
170,0.7979263386847465,0.014926611301732059,0.7693832046874423,0.006642491616729326,11.881850625318776,1.052022206423379,3.4416896267874044,0.05715166004244416,0.8971671082904167,0.009976699851839377,17.788016903768785,1.0618767157724232,5.906166278450009,0.060717755639628,2.464476651662605,0.02017896162372492
175,0.7973088446015653,0.014343494089715464,0.7685710574511806,0.0066233789521473714,11.958175386377285,1.0519491887897305,3.4449784889475605,0.056329195237984686,0.8968288991135824,0.009852628462772652,17.86586267649118,1.0622590591953058,5.907687290113888,0.05992987779162148,2.4627088011663285,0.019391659293590602
180,0.797671554456574,0.013773175211530108,0.7681087223625866,0.006422122246256146,12.036308321215023,1.0636191439944385,3.4390287183341317,0.05543905129328237,0.8966396151570712,0.009702861446803978,17.93775693152538,1.0727311195092735,5.901448610310366,0.0590667906621333,2.462419891976231,0.01852637579364954
185,0.7985212344767328,0.013447556286193388,0.7673254446370523,0.00620110787673296,12.10142937581756,1.0674500223922245,3.435704136639939,0.053622099619741126,0.8972178345887568,0.009741827192460209,18.00019802616004,1.0759538112227882,5.898768650342479,0.05751575100637442,2.4630645137025415,0.018524056130200993
190,0.7986752309895909,0.01318581587460079,0.767499410636054,0.006204437777045857,12.165389131460694,1.0724136051842437,3.4296069123629906,0.052572276637809036,0.8987505136999702,0.009772682808220452,18.059921199149308,1.080991869728315,5.894532067688603,0.056828072784685546,2.464925155325616,0.018286073533320964
195,0.7994245890948931,0.012939146270112598,0.7671638972968984,0.006079349128330214,12.23031125179607,1.0796786285409092,3.4346601405266304,0.05191807975659889,0.8993330534966036,0.009527519017715447,18.130892932211093,1.0873423715135222,5.90058168041503,0.05593378083701516,2.4659215398883956,0.018317165831494
200,0.8002347703422604,0.012816102755372162,0.7666256888638583,0.006333055839862084,12.30420154895769,1.0912191128609043,3.4320934911949004,0.05161681839908512,0.8998494099277226,0.009514924491029803,18.203004909286427,1.099405759341903,5.898803360328739,0.05602391662087953,2.4667098691338416,0.01842435640046613
205,0.7993909425450211,0.012608267812928292,0.7664495504010891,0.006227561216072977,12.37706585871161,1.10009639881257,3.4305458884142297,0.05143792493925618,0.8992523014954438,0.009208553893842316,18.27270454156739,1.1076531459911136,5.8956386828557825,0.056126175167481446,2.4650927944415533,0.018139102017770952
210,0.8010552677981567,0.012549408863766483,0.7668659726149386,0.006304273424341291,12.424163855803153,1.1129880205197717,3.4304189091184965,0.05235300323834914,0.900519108837898,0.009251517043556319,18.32302311417263,1.1192518182664113,5.898859258369489,0.05729283408135526,2.4684403492509936,0.01805961931440363
215,0.8025144936516461,0.012729959853994837,0.7671137004338233,0.006246658915299144,12.474867879789635,1.1165780722939374,3.4308835310488357,0.05200526574294024,0.9009921878579297,0.009307766669763688,18.376371792781857,1.1226534877198948,5.901503912992233,0.057088202609479215,2.470620381943399,0.017931935258253325
220,0.801204228016901,0.012387062192400176,0.7681560412135633,0.006223719015491838,12.543331447720346,1.1306319777740226,3.4293805499352494,0.052357129981725724,0.9006539995272379,0.00918572308217764,18.442726266413302,1.1364814978849715,5.8993948186929535,0.05705951272941647,2.4700142687577036,0.01747577001497438
