Slot,time,completations,s,d,w,l,q,x,a,c,u
12,59.83913397117424,38,5.791362441824162,3.191824258930505,8.983186700754672,5.704646307099268,2.0269230817709825,0.9194308063320706,59.31999759859022,59.31999759859022,0.9808096397022641
13,64.89523871837224,40,5.9016473980455455,3.064271517953761,8.96591891599931,5.526395521809524,1.8887496700655464,0.909411462935994,64.46790532949414,64.46790532949414,1.0492035885475794
14,69.44762371350492,43,5.913382230287269,3.075034265171525,8.988416495458798,5.565372703019763,1.9039740502548332,0.9153496631912319,68.43734026398494,68.43734026398494,0.9804268843503623
15,73.56752642911297,46,5.885979277495321,3.099734004623206,8.98571328211853,5.618549800987731,1.9381889147796743,0.9200902215520139,73.5593437689934,73.5593437689934,0.9908660549595365
16,79.45681766581733,51,5.77082768061965,3.0396731768148757,8.81050085743453,5.655091116523122,1.9510387726521092,0.9260130859677526,79.08980642087359,79.08980642087359,0.9930988221753208
17,84.51657763285624,56,5.61625830351854,2.8485503488041926,8.464808652322736,5.608713672591873,1.8874263961088393,0.9303218191207577,84.51657763285624,84.51657763285624,0.9905229332485097
18,89.88861121564028,61,5.508173759478269,2.878084299040971,8.386258058519243,5.691062912769354,1.9531188641943542,0.9344860121437495,89.88861121564028,89.88861121564028,1.0121301644311909
19,94.53527586228239,64,5.540394654917857,3.040946964733424,8.581341619651283,5.809533622747948,2.0587088149661676,0.9377062019454449,93.59625717807097,93.59625717807097,1.0035629503969103
20,99.73506953995592,68,5.520359303315249,3.0805619537726945,8.600921257087945,5.864162407263097,2.1003465864394064,0.9409539552059224,99.73506953995592,99.73506953995592,0.9775161479027931
21,104.75458688110892,73,5.389430488221328,2.893348947135831,8.282779435357162,5.771994494783425,2.0162789948342144,0.9389288749873025,99.73506953995592,99.73506953995592,0.9660511189248332
22,109.5773117537946,74,5.371122237287135,2.854249637039401,8.225371874326537,5.554776887279183,1.9275383723182224,0.9068096287402397,109.5773117537946,109.5773117537946,0.978897785752286
23,114.15454037512232,76,5.393607109513283,2.7791378044857327,8.172744913999018,5.441120532068542,1.8502503049536663,0.8977175567787185,114.15454037512232,114.15454037512232,0.9979548530576974
24,119.68594358617447,79,5.3737000391611565,2.673600925834376,8.047300964995534,5.311707934832912,1.7647391733085198,0.8867421903810977,116.70143633726856,116.70143633726856,0.9518333912277713
25,124.67570418236402,81,5.310664436187163,2.607586088159453,7.918250524346618,5.144372728257685,1.6941109298405952,0.8625654496042722,123.72441172653603,123.72441172653603,0.9322916871592086
26,128.69228152962523,82,5.350388834554469,2.575786257816045,7.9261750923705145,5.050391133401137,1.6412365266233444,0.852288651694448,128.69228152962523,128.69228152962523,0.9265546387895773
27,133.5794905175756,85,5.350844770599327,2.5055595508288167,7.856404321428145,4.999228285224878,1.59435075695567,0.8512193820673017,133.5794905175756,133.5794905175756,0.9496464769691679
28,139.74767566424595,89,5.362117088609282,2.478703919694142,7.840821008303426,4.9935218344210615,1.5785926156138548,0.8537323047018013,140.00269856955128,140.00269856955128,0.9461462128702405
29,145.1810305262967,92,5.423498264504664,2.5076314122194,7.931129676724067,5.025890280662045,1.5890649700437112,0.8592063276545828,144.39090544578,144.39090544578,0.9711328713489029
