Slot,time,Set1.csv,Set2.csv,Set3.csv,Set4.csv,Set5.csv,Total,Tesse,Socio
1,4.016779349069164,0.5557051213162596,0.9099387630527448,0.0,4.8980051059407375,0.0,6.363648990309741,6.363648990309741,1.4656438843690043
2,9.4440181055645,0.5635388497596143,0.7356360027432898,4.878247949900564,3.11624312435073,0.7691655752390605,10.062831501993259,5.184583552092695,2.0683404277419646
3,14.876992226564392,0.5425019282588599,0.7678323612873316,4.534687340210939,2.736469304985496,0.7915567158798343,9.37304765062246,4.838360310411522,2.101891005426026
4,14.876992226564392,0.6169935695100137,0.75534759271606,5.388902528931248,2.817201414558263,0.7915567158798343,10.370001821595418,4.9810992926641715,2.163897878105908
5,24.98600010184883,0.5948875583763786,0.6823264736611339,5.084132700537682,3.307611772484676,0.9392554579794008,10.60821396303927,5.524081262501589,2.2164694900169133
6,29.65221231379792,0.6481358348747844,0.6952434973605452,5.029925028623338,3.287729854151302,1.110397015984551,10.771431230994521,5.741506202371182,2.453776348219881
7,32.93034100382516,0.6831490695487928,0.7006884564999223,5.107430395295703,3.1452897365775097,1.0340275289784369,10.670585186900365,5.563154791604662,2.4178650550271517
8,39.986536758561215,0.7073909195808896,0.7256824161346315,4.974760075285167,3.2633431455519144,1.0672126811901068,10.738389237742709,5.763629162457542,2.500286016905628
9,44.82900295790637,0.7121734622434592,0.7351984293445625,5.217212877244565,3.065036132955838,1.0089399524312257,10.73856085421965,5.521347976975084,2.4563118440192473
10,49.9826031453792,0.706383133371571,0.7298019855992176,5.871875678746759,2.9794306532395733,1.0546134764425854,11.342104927399706,5.470229248652948,2.490798595413374
11,55.03497758560794,0.6848394597808942,0.694109478692571,5.398723958710683,3.014072565272988,1.0877776384754283,10.879523100932564,5.480799142221882,2.4667265769488935
12,59.43161932890469,0.6945694614538866,0.690296048472661,5.190299223771637,3.159340813530902,1.069489680985026,10.803995228214113,5.613696004442476,2.4543551909115737
13,62.77494103142947,0.7001393582880935,0.7809038122935822,5.8156403248626924,3.114573220945738,1.0250969099240363,11.436353626314142,5.62071330145145,2.5061400805057117
14,69.80456114030116,0.6957902191460483,0.7684732750156003,6.523321326556284,3.172471901077896,1.0046105988008165,12.164667320596646,5.641345994040361,2.468874092962465
15,75.04290085154362,0.6890405469508126,0.7679330155536868,7.228198901527723,3.135856190611284,0.9812952186693616,12.802323873312867,5.574124971785145,2.438268781173861
16,79.99468839274338,0.7054687147832978,0.7606456028011864,7.345408066593014,3.119239494525656,0.946622027912413,12.877383906615567,5.531975840022554,2.412736345496897
17,83.58971056048841,0.7062473916054394,0.7479800598500262,7.135426733009184,3.2672649754685565,0.9143725056697884,12.771291665602995,5.63586493259381,2.3685999571252543
18,89.84269892521775,0.7922108565997013,0.7645137300126478,6.911283010507665,3.327823941545085,0.8830456946511334,12.678877233316232,5.767594222808567,2.439770281263482
19,94.36031862618984,0.7970489663861191,0.7632184715676071,7.14899512055415,3.276056042959836,0.896531066388292,12.881849667856006,5.732854547301854,2.4567985043420184
20,99.76903877163302,0.8172553540487552,0.7716383120350893,7.180186934088634,3.278295260196194,0.909237656626192,12.956613516994864,5.77642658290623,2.4981313227100364
21,104.37707454243096,0.8199472066113644,0.7559096638052668,7.073345444746365,3.290917394436609,0.9001940168694785,12.840313726469082,5.766968281722718,2.47605088728611
22,109.57253212215456,0.7916431457022836,0.7536423711470048,6.780806203941985,3.276473602880781,0.918492325899381,12.521057649571436,5.7402514456294504,2.4637778427486694
23,115.4641399373298,0.8051106068418549,0.7606170123244218,6.899240046151158,3.298503172838689,0.921451590507811,12.684922428663935,5.785682382512777,2.4871792096740877
24,119.55732740255964,0.7967944544102227,0.7572743998923798,6.791306206446853,3.3244497014831,0.9188020032182108,12.588626765450767,5.797320559003913,2.4728708575208134
25,125.13872331281851,0.796672285528383,0.7532386338254018,6.827262875102232,3.2964397768831186,0.9192776383290964,12.592891209668231,5.765628334566,2.469188557682881
26,129.9242354711673,0.7876705020306823,0.7536094294796655,6.8555673152628085,3.2679204213484505,0.9189001017710494,12.583667769892655,5.728100454629848,2.4601800332813974
27,134.11466222976077,0.7826305624354438,0.7542698630172295,6.906398373526533,3.278400901557839,0.912794734063043,12.63449443460009,5.728096061073556,2.4496951595157164
28,139.4015982042142,0.7843506266987499,0.7542376820583341,7.048919339982368,3.2701521253309767,0.931110498586762,12.78877027265719,5.739850932674823,2.469698807343846
29,145.24292338284414,0.7884839399880649,0.7526380350798824,7.1352232146218135,3.276270498703838,0.9202144140136777,12.872830102407276,5.7376068877854625,2.461336389081625
30,149.8512428455472,0.8034884773713227,0.7518048029971374,7.009251546735835,3.300561738862704,0.91445155115996,12.77955811712696,5.770306570391124,2.46974483152842
31,154.61819748280877,0.8266734179745305,0.7492409904857767,7.012232340171591,3.269544916753904,0.9104042409773068,12.768095906363111,5.755863566191518,2.486318649437614
32,160.02987959000103,0.832772694384515,0.7558660593169351,6.945183039091089,3.247232432882538,0.9076875175994332,12.68874174327451,5.743558704183421,2.4963262713008834
33,164.48598549789594,0.8311756251566266,0.7742304596175131,7.098592937890908,3.250039059992737,0.9112557916350196,12.865293874292805,5.766700936401897,2.516661876409159
34,169.24997285522826,0.8244146467831842,0.7668653713390483,7.30167827401485,3.267266550547449,0.9097492652888984,13.06997410797343,5.76829583395858,2.501029283411131
35,174.85852766600578,0.8188558961256689,0.765655162491469,7.462652485482063,3.2404323687788974,0.9059245047003496,13.193520417578448,5.730867932096385,2.4904355633174875
36,178.85195659779328,0.8280862695766134,0.7718491472120773,7.565354889227775,3.2503067739839326,0.8941671805718024,13.309764260572202,5.7444093713444255,2.494102597360493
37,182.83871931321977,0.8254602523759585,0.7660946708650995,7.661825089903329,3.239213993229158,0.8829011766679932,13.375495183041537,5.71367009313821,2.4744560999090512
38,189.8772265220059,0.8245875014891295,0.7652378346481211,7.772056925774754,3.2216567980732083,0.8869845877341395,13.470523647719352,5.698466721944599,2.4768099238713903
39,194.72083919824647,0.8288111645901958,0.7561089880880099,7.895677470491554,3.247002535595264,0.8798750611523284,13.607475219917353,5.711797749425798,2.464795213830534
40,200.1725605731937,0.826832054536652,0.7552081454514671,7.889367674353825,3.2413698588872424,0.8724762356784427,13.58525396890763,5.695886294553804,2.454516435666562
41,203.9898685708164,0.8179619151278484,0.7538661212218697,7.896922194629909,3.2548298805669105,0.8573424251975802,13.580922536744117,5.684000342114209,2.429170461547298
42,209.4831472194948,0.814336208770812,0.7519853529425803,7.810946499606416,3.26863247667576,0.8524408283300534,13.498341366325622,5.687394866719205,2.4187623900434456
43,214.88826483353589,0.802036610754786,0.7477211500653057,7.729833026791281,3.264906307186126,0.8698695751550746,13.414366669952575,5.684533643161292,2.4196273359751665
44,219.38688741597045,0.8055847235444928,0.7451574813984373,7.762491045543043,3.2484549036057704,0.8711885890711197,13.432876743162863,5.67038569761982,2.4219307940140498
45,224.1943536238172,0.7969081560767436,0.7558164598234314,7.833747939053404,3.254564221860728,0.8673870039008228,13.508423780715129,5.674675841661725,2.4201116198009975
46,228.00049678313343,0.7936674481697208,0.7517515470546585,7.836443114477407,3.275865778617275,0.8644350172234722,13.522162905542535,5.685719791065126,2.4098540124478514
47,235.3416076113248,0.7930204123567396,0.7542036633192225,7.708247035432794,3.2873576377853104,0.8693958724819173,13.412224621375984,5.703977585943189,2.416619948157879
48,239.87685949187403,0.8013804590400183,0.758713433335891,7.69938676595129,3.307417815732335,0.8633870725207987,13.430285546580334,5.730898780629043,2.423480964896708
49,244.98722508709344,0.8086223355470117,0.772864838589466,7.7583135158473,3.340978224752781,0.873121760530588,13.553900675267148,5.7955871594198465,2.454608934667066
50,249.7146449665889,0.80911883745466,0.7721497792014108,7.837574382469128,3.368948314896317,0.8666955429893444,13.65448685701086,5.816912474541732,2.447964159645415
51,254.9917541420136,0.8059410526043386,0.7747386676803337,7.958445060767713,3.3702620717013594,0.8618927458194665,13.77127959857321,5.812834537805498,2.4425724661041386
52,259.8801170985623,0.7949453981472088,0.7730932373859328,8.047478999583799,3.348882091053082,0.8610866860602833,13.825486412230305,5.778007412646507,2.4291253215934248
53,264.9551615880853,0.7855456501359047,0.7690883415750844,8.294058573099665,3.362001751541777,0.8663384710281945,14.077032787380627,5.78297421428096,2.4209724627391838
54,269.94326260198767,0.7797670896999721,0.7705869116420209,8.418911021524108,3.373106528863804,0.8558987729855149,14.198270324715422,5.7793593031913115,2.4062527743275077
55,274.2038804998425,0.778261917704729,0.766242082079532,8.716154123788437,3.3474107342716897,0.8512263355933667,14.459295193437754,5.743141069649317,2.3957303353776274
56,279.93790322757343,0.7794108138344181,0.7660886605916083,8.845454934109803,3.359840178706184,0.852490736200426,14.60328532344244,5.757830389332637,2.3979902106264523
57,284.8934685290938,0.7855191584634982,0.766574173348822,8.89794582028766,3.3421905894911075,0.8492208221396256,14.641450563730714,5.7435047434430535,2.4013141539519456
58,289.966764418417,0.7836122991753561,0.765233155676204,8.974808197054372,3.3719082357300154,0.8489888577995008,14.744550745435447,5.7697425483810765,2.397834312651061
59,293.7288866120628,0.7831857377698617,0.7634923871197652,9.079522574978506,3.391693577965797,0.8511680738625443,14.869062351696476,5.789539776717968,2.397846198752171
60,299.8895551937761,0.776314246776418,0.7636888327738639,9.063681233381269,3.3622495724339965,0.8484552278152875,14.814389113180836,5.750707879799567,2.3884583073655694
61,304.1264586476746,0.7881008202116313,0.7701032851142608,9.05753444739824,3.408991200174487,0.8466128998098347,14.871342652708453,5.813808205310214,2.404817005135727
62,309.96319805897616,0.7923808098217255,0.7727654407847511,9.061323306879377,3.386287187887739,0.8528102539897191,14.865566999363311,5.804243692483935,2.4179565045961957
63,314.8599605964014,0.8058047499573475,0.7739733075019647,9.040329129726404,3.382124112244113,0.8520463375648896,14.85427763699472,5.813948507268314,2.4318243950242016
64,319.864918832112,0.8038319977512226,0.771538797794921,9.078704415726325,3.373607997861852,0.8548278840803052,14.882511093214625,5.803806677488301,2.4301986796264488
65,324.1356400478476,0.8029549137299963,0.7682534306595535,9.126578754197675,3.359478791137449,0.8504917238947489,14.907757613619424,5.781178859421747,2.4217000682842986
66,330.17568828440074,0.800966137940577,0.7668583739560507,8.967230814095775,3.426853237175058,0.8597540516390786,14.82166261480654,5.854431800710764,2.427578563535706
67,334.81273176655054,0.7975408683269949,0.7676135902290774,8.940629763931952,3.48250726857862,0.860937096548714,14.849228587615357,5.9085988236834055,2.4260915551047866
68,339.8121830818405,0.8089201344153384,0.7652585528841526,8.967120301929883,3.450613957687417,0.8551699765245917,14.847082923441382,5.8799626215115,2.429348663824083
69,344.4416903712646,0.8053144714825597,0.7631998066819414,8.928674389472127,3.440357898434274,0.8555759670013316,14.793122533072236,5.864448143600106,2.424090245165833
70,350.0854609874616,0.8078736746797799,0.7640242775057043,8.864616671399375,3.436121734615832,0.8606893385564814,14.733325696757172,5.868709025357798,2.4325872907419654
71,353.3462984983807,0.8198970880797465,0.7664042168577697,8.833896475686432,3.428088784438512,0.8589705439955421,14.707257109058,5.873360633371571,2.4452718489330585
72,358.8316038613316,0.8132760299095858,0.763853685583811,8.822394171857347,3.413070558559684,0.8614216500337606,14.674016095944188,5.851621924086841,2.4385513655271573
73,364.9958139563356,0.8185708037419775,0.7622818500759209,8.742686887372495,3.3912013221502053,0.8641111351871653,14.578851998527764,5.836165111155269,2.4449637890050635
74,369.9460449283932,0.8166433540775475,0.7698504603518386,8.739731379494305,3.392910730620049,0.8625212356958932,14.581657160239633,5.841925780745329,2.449015050125279
75,373.9335336246885,0.8045736306194035,0.7666702081174288,8.796670771752975,3.391308117281512,0.8694627842058349,14.628685511977155,5.83201474022418,2.4407066229426673
76,379.7914812330949,0.8102737891703038,0.767880055004004,8.823413314725563,3.373339469040721,0.86979762713149,14.644704255072082,5.821290940346518,2.4479514713057977
77,385.0724619138233,0.8166572544739266,0.7810027055809876,8.889446067070878,3.3687983590950643,0.8725874428868058,14.728491829107663,5.839045762036784,2.47024740294172
78,390.2774063609954,0.8134489685679288,0.7830237418194947,9.022754063824015,3.3535038667635626,0.8804520604385125,14.853182701413514,5.830428637589499,2.476924770825936
79,395.1294464706264,0.811678742518782,0.7830555275007435,9.114265521356335,3.3616332045466866,0.8799235784404342,14.950556574362983,5.836291053006646,2.4746578484599597
80,399.6695900496367,0.8106164679144449,0.7834426484070875,9.275457808075204,3.3398849291684125,0.8754557197492427,15.084857573314393,5.8093997652391876,2.4695148360707755
81,404.3361714096187,0.8123042453003464,0.7834931288196039,9.337410249920325,3.32869977213109,0.8724521569979032,15.134359553169269,5.796949303248944,2.4682495311178534
82,408.693159590945,0.8230800979008668,0.7830403872587071,9.43184595057653,3.336035236179117,0.8737985781991794,15.2478002501144,5.81595429953787,2.479919063358753
83,414.4660094330819,0.8285953229757625,0.7815387548260554,9.500910074389866,3.329034252257663,0.8788487818147424,15.31892718626409,5.818017111874223,2.48898285961656
84,418.4692241891792,0.8196609538562709,0.7786260383331286,9.66263784933042,3.364865086680885,0.875946423906464,15.501736352107168,5.839098502776748,2.4742334160958634
85,443.5385171916329,0.8187097789262011,0.7775585171501243,9.672163141472073,3.349937915858832,0.8732793176234709,15.491648671030699,5.819485529558628,2.4695476136997963
1,0.0,1.0601504553975174,0.7126469328798161,0.0,0.0,0.0,1.7727973882773336,1.7727973882773336,1.7727973882773336
2,6.830683319915355,0.7616811814654991,0.7828299492768057,15.391323963762884,7.7083593905552545,0.4176721147964737,25.06186659985692,9.670542636094034,1.9621832455387787
3,15.0690003410033,0.8112101375784502,0.782596615374219,7.355405690716327,3.437430006802788,0.8856179989452051,13.27226044941699,5.916854758700662,2.4794247518978745
4,20.128619774772247,0.9511348714069752,0.7457263348645147,8.24867258168956,3.0922514545557123,0.8436847509385133,13.881469993455275,5.632797411765715,2.540545957210003
5,24.9631836485114,0.908774055619342,0.8541154301443905,8.898607248488767,3.3233452728425656,0.8800337893644815,14.864875796459549,5.966268547970779,2.642923275128214
6,29.70044491965253,0.8109007074711454,0.8186948569445727,11.313274309006228,3.4692726109630114,0.8012978298523967,17.213440314237356,5.900166005231126,2.430893394268115
7,34.971679458352455,0.7906620435240442,0.8192215544110792,12.761039072651634,3.8224330499549297,0.8205304436543303,19.01388616419602,6.252847091544383,2.430414041589454
8,39.639014624443256,0.8213108087049777,0.8638470138384831,13.770039414652588,3.5796638161024394,0.7666762668705279,19.801537320169018,6.031497905516428,2.4518340894139885
9,44.84674081153724,0.838550852425652,0.8453339392844663,14.446644195670274,3.5599228198800668,0.753995061995063,20.444446869255522,5.997802673585248,2.4378798537051813
10,49.51937611601028,0.8167651658859104,0.8521699488393729,15.233456424194037,3.5555455222826944,0.7727460660002146,21.23068312720223,5.9972267030081925,2.4416811807254977
11,54.28183429055839,0.8386198883122218,0.8601541635127016,15.823801647644084,3.473799303586281,0.767738740876152,21.764113743931443,5.940312096287356,2.4665127927010753
12,60.18862130220251,0.8037997560532284,0.8895424702157101,17.28510405296785,3.4935001048716825,0.7804273866731861,23.252373770781656,5.967269717813807,2.4737696129421245
