time,completations,s,d,w,l,q,x
255.25841888079597,213,2.8194513839255975,1.8017353875440572,4.6211867714696595,3.856142283725048,1.5034553580232826,2.3526869257017613
253.76273861870345,210,3.0555634525825446,2.5501282247314356,5.605691677313984,4.6389602297158214,2.1103450022198444,2.5286152274959743
249.79484783298165,232,3.0861153355273636,5.285719411283006,8.371834746810368,7.775443241161832,4.9091761261528495,2.866267115008984
212.36200129713484,200,2.9384389671304474,4.9767615490027985,7.915200516133252,7.454441442241243,4.687054669483325,2.7673867727579116
180.2984902637379,201,3.249700321065258,7.333289704007992,10.582990025073247,11.798107637663048,8.175283266928494,3.622824370734557
163.76639316172282,218,2.5242346442240984,2.9008008753535792,5.425035519577677,7.221614401069662,3.861442989726206,3.360171411343456
163.13396543657586,228,2.948220390057241,3.5231714812422816,6.471391871299522,9.044574762267612,4.9240701994432,4.120504562824412
151.8815546407443,241,2.953058604956489,7.027350701995076,9.98040930695156,15.836542157240187,11.150738634370578,4.685803522869617
134.1015132284365,224,2.9251496929352165,2.806250162479589,5.731399855414805,9.57359493345879,4.687493983193413,4.8861009502653765
130.6569068110657,215,3.300769863016581,9.230339431773237,12.531109294789818,20.62032971801252,15.18881034510432,5.431519372908201
108.1374607587145,219,2.8831218709790276,4.900329685693905,7.783451556672934,15.763047134191241,9.92414833525191,5.838898798939331
88.06980842635494,215,2.935312148705964,7.278717325441029,10.214029474146994,24.93495076440344,17.769133973743457,7.165816790659983
72.91099931013605,214,2.8166488891296337,1.49600642190196,4.312655311031594,12.658011072308247,4.390906410776803,8.267104661531443
71.64420969706043,174,3.055708912038677,0.6808541125795498,3.736563024618227,9.07487107517424,1.653568600864927,7.421302474309313
36.563605196136905,196,2.911798497926535,2.2606111900446493,5.172409687971184,27.726814503222545,12.118055396122822,15.608759107099726
31.916025389973584,213,3.2115111734159196,5.377731432865465,8.589242606281385,57.3225723686971,35.889706854293614,21.43286551440349
-10.2552495852633,185,3.467492838239402,21.680402194585536,25.147895032824927,-453.6564948899938,-391.10451409802,-62.55198079197401
-7.099141247116677,242,3.0396942701816796,6.226665995388378,9.266360265570057,-315.8775274655552,-212.25851387250495,-103.61901359305023
-24.774035175707468,201,3.1624055278632897,2.3329226877444875,5.495328215607777,-44.58542839320161,-18.9277788987902,-25.65764949441141
-51.423200708743025,185,2.9631450118472236,2.051804051749064,5.014949063596288,-18.041770328924187,-7.381565992430331,-10.660204336493857
-67.03845662013919,200,3.17080633073645,3.871537788235023,7.0423441189714735,-21.00986351423808,-11.550199641893203,-9.459663872344878
-76.14257493230343,220,3.366762023015942,20.33909053756837,23.70585256058431,-68.49371154003312,-58.76607039154248,-9.727641148490646
-110.83717685114698,207,3.207324609871833,13.54577152257474,16.753096132446572,-31.28815617591719,-25.298142598296923,-5.990013577620269
-147.55159982769328,229,2.8026983944037016,7.607384289180963,10.410082683584665,-16.156442473851534,-11.806656141016477,-4.349786332835056
-170.8658998351939,185,2.6830728577177805,1.6304997452153387,4.313572602933119,-4.670393169803551,-1.765375380083342,-2.9050177897202083
-207.30386127826205,220,2.605997258320998,2.8659941215077898,5.471991379828788,-5.807118575309278,-3.041519356387551,-2.765599218921727
-240.1440298161897,167,2.812071831775361,1.0932018628117077,3.905273694587069,-2.7157898012090107,-0.7602300637217312,-1.9555597374872793
-270.4364041444169,195,3.337651713703431,5.714766701870636,9.052418415574067,-6.527307581320634,-4.120671218027583,-2.4066363632930505
-297.77553931808416,202,2.7949790528658482,2.0055805283597223,4.800559581225571,-3.2565234794914324,-1.3605122423971383,-1.896011237094294
-309.4512752403298,219,2.876866133310884,7.276106528565459,10.152972661876344,-7.185302472009776,-5.149331921538529,-2.0359705504712466
-324.2977348114091,192,2.7721505822833024,1.1968207884439817,3.968971370727284,-2.3498237001957287,-0.7085759988884148,-1.641247701307314
-338.7808382794583,199,3.12089229156343,2.4187616403943553,5.539653931957785,-3.2539949368395016,-1.4207815556599679,-1.8332133811795337
-353.0411630601493,216,2.7996859033709565,3.3084413751743873,6.108127278545344,-3.73711518716306,-2.024192677259886,-1.7129225099031737
-373.2121429181061,206,3.096662371260266,3.082846282420615,6.179508653680881,-3.41087182401134,-1.7016229140164907,-1.7092489099948494
-391.7610105341937,189,3.179369209954217,7.043537597134856,10.222906807089073,-4.931908318046353,-3.3980630283837177,-1.5338452896626351
-434.6358389201396,210,3.0446453087722016,28.73380095366784,31.77844626244004,-15.354172660249949,-13.883112389585888,-1.4710602706640625
-452.4907635697946,232,2.8560896238168505,12.369394482311714,15.225484106128565,-7.806374399235631,-6.342006845082662,-1.4643675541529686
-469.41302800275844,211,2.7803211255444116,4.550866918392009,7.331188043936421,-3.2953509702365884,-2.045603471778954,-1.2497474984576344
-476.01786698552496,216,3.0044439953273585,3.273661727518907,6.278105722846266,-2.8487813802502284,-1.4854714122854262,-1.363309967964802
-503.02311661357635,208,3.122901357106614,8.939645681996003,12.062547039102618,-4.9878617925640425,-3.696542445948066,-1.291319346615977
-507.91377456363625,239,2.938609936273233,5.580133039004486,8.51874297527772,-4.008514186961252,-2.6257444926904214,-1.3827696942708303
-513.1391881146174,219,2.8678754787341605,2.4730382278107443,5.340913706544905,-2.279420727991784,-1.0554550976324566,-1.2239656303593276
-541.9348500709075,202,3.0555892295742435,4.7400625197070525,7.795651749281295,-2.905739782464226,-1.766803941203532,-1.138935841260694
-544.0084646312316,213,3.1167276167518927,6.947668084432607,10.0643957011845,-3.9405936188979425,-2.7202762423693114,-1.220317376528631
