time,completations,s,d,w,l,q,x
1024.1531887355093,1068,0.6906677882594525,0.09828318907809379,0.7889509773375463,0.8227281358532228,0.1024909623774184,0.7202371734758044
1024.7974122427077,1084,0.7148552820073975,0.10751602610652906,0.8223713081139266,0.8698797316872712,0.11372723126263616,0.756152500424635
1024.8459268333095,1094,0.7175749130761214,0.1283360231633355,0.8459109362394569,0.9029909179670145,0.13699582119091053,0.765995096776104
1024.004245530482,1120,0.7127127115160116,0.13311617059049427,0.8458288821065058,0.9251215042263093,0.1455952079418557,0.7795262962844537
1025.1291274943005,1082,0.7408844969024632,0.13962821657659805,0.8805127134790612,0.9293607316700121,0.14737434171357017,0.781986389956442
1025.047767663249,1138,0.6888226820180889,0.10117689844027089,0.7899995804583598,0.8770513442618035,0.11232579988687326,0.7647255443749303
1026.0909898451682,1148,0.7012564296984326,0.12606103835292434,0.827317468051357,0.9256103627479194,0.14103824462097106,0.7845721181269483
1024.4368379153275,1099,0.7118741711377916,0.11720574667035695,0.8290799178081485,0.889424116693532,0.1257365128072139,0.7636876038863182
1024.0958640866465,1111,0.7459067231774277,0.08932975871067526,0.835236481888103,0.9061141284905831,0.09691022628635798,0.8092039022042252
1024.127414840661,1091,0.7071422998586302,0.14231613114566222,0.8494584310042924,0.9049256321000575,0.1516089666480364,0.7533166654520211
1024.468544286634,1092,0.6836728426944866,0.12074162544696188,0.8044144681414485,0.8574402836566646,0.12870073534555726,0.7287395483111073
1024.061376814001,1059,0.7233669738040733,0.121194117359179,0.8445610911632523,0.8733755766909771,0.12532898241184387,0.7480465942791332
1024.1062561489198,1043,0.7141543735837408,0.09377533961140448,0.8079297131951453,0.8228352144154855,0.09550540154152933,0.7273298128739561
1024.628122739412,1099,0.6658596208773891,0.08151871661454116,0.7473783374919303,0.8016262433902818,0.08743569259045746,0.7141905507998243
1024.0723289154994,1069,0.6966602331435526,0.10841134991335015,0.8050715830569027,0.8403913454035361,0.11316752712193831,0.7272238182815978
1024.0237164992323,1087,0.6998211947812064,0.07244837082310501,0.7722695656043115,0.8197632577121234,0.07690386249445248,0.742859395217671
1025.6626307673869,1077,0.7079510986380092,0.09062846134451998,0.7985795599825292,0.8385507673782471,0.09516467690259894,0.7433860904756481
1024.1033676170991,1105,0.6849397457683557,0.12214119477328626,0.8070809405416419,0.8708343976776742,0.13178945064746983,0.7390449470302044
1024.0609290340908,1052,0.7387315313958165,0.14739767072766982,0.8861292021234863,0.9103051334193364,0.15141906619927947,0.7588860672200569
1024.3573111316364,1085,0.6916686848468894,0.11253651653833967,0.804205201385229,0.8518147271668604,0.11919875918024044,0.7326159679866199
1024.2824270186065,1132,0.6775084400423892,0.09917833889772905,0.7766867789401183,0.8583662186994082,0.10960832351582446,0.7487578951835838
1024.2613522929933,1153,0.7010833250456021,0.1377058888755049,0.838789213921107,0.9442160064772095,0.15501403964721602,0.7892019668299936
1024.627556023388,1125,0.6421353097432261,0.10645129463702324,0.7485866043802493,0.8219180959725794,0.11687925604054081,0.7050388399320385
1024.4584393866971,1095,0.683403590846061,0.1277095992407298,0.8111131900867907,0.8669643481845369,0.13650335220266918,0.7304609959818679
1024.5206228048664,1123,0.6714502423202666,0.11280990929613384,0.7842601516164005,0.8596451166146641,0.12365346809000959,0.7359916485246546
1024.3279104609064,1088,0.7077838562391722,0.0780146214286052,0.7857984776677774,0.8346436087227666,0.08286400013852001,0.7517796085842465
1024.1316913908631,1098,0.6633268542121241,0.10781646392362368,0.7711433181357478,0.8267641460866574,0.11559302224830552,0.7111711238383519
1024.0081659888383,1077,0.6964439418278251,0.0932182755147729,0.789662217342598,0.8305267832085317,0.09804226769272144,0.7324845155158103
1024.039995833049,1081,0.6970198367921617,0.1042989958221068,0.8013188326142685,0.8458904550416081,0.11010040129534045,0.7357900537462676
1025.4603770346366,1095,0.7069321125878468,0.10493708551367577,0.8118691981015226,0.866924546116461,0.11205319211821076,0.7548713539982501
1024.4610532428887,992,0.6701179912678519,0.06572332655738475,0.7358413178252367,0.7125254639715135,0.06364081849529132,0.6488846454762223
1024.0368796204275,1112,0.6948193994645774,0.10437261374697215,0.7991920132115495,0.8678413213210171,0.1133380533420369,0.7545032679789802
1024.0409362365535,1109,0.671192771263648,0.07408999213229385,0.7452827633959418,0.8071147894181191,0.08023683269604524,0.7268779567220739
1026.1144639367922,1107,0.7154786688419419,0.10773393694438785,0.8232126057863298,0.8881039948595854,0.11622628116933333,0.771877713690252
1025.2621460785886,1072,0.654715360552941,0.12637915862733823,0.7810945191802793,0.8167016872356818,0.13214031022864065,0.6845613770070411
1024.2280111927466,1048,0.6901578549737776,0.08037377510950379,0.7705316300832813,0.7884154109268101,0.08223922348761915,0.706176187439191
1024.1450545079133,1071,0.7513079316769141,0.14808847960832247,0.8993964112852366,0.940544068681089,0.15486357226684033,0.7856804964142486
1024.0507390841449,1049,0.6995973610779407,0.09027935595637433,0.789876717034315,0.8091207247309189,0.0924788594781289,0.71664186525279
1025.2823737385843,1153,0.7054462431732387,0.19530257131563952,0.9007488144888782,1.0129535137902201,0.21963106993229886,0.7933224438579213
1024.8547978413844,1030,0.7175718731736568,0.09207210446574676,0.8096439776394035,0.8137087309588343,0.09253434515744596,0.7211743858013884
1024.8050313168715,1085,0.716932245968241,0.12424770317921949,0.8411799491474604,0.8905891529945,0.13154576122272182,0.7590433917717782
1024.046157146775,1089,0.7107974673028911,0.11560587057521578,0.8264033378781068,0.8788209678523987,0.12293859234546757,0.7558823755069312
