Set1.csv,Set2.csv,Set3.csv,Set4.csv,Set5.csv,Total,Socio,Tesse
0.1656341979166175,0.0566429045526564,2.462893396804408,0.9398234900749142,0.2926453321313345,3.917639321479931,0.5149224346006084,1.4547459246755226
0.0698631621806274,0.0692919902570348,4.975509807438023,0.720467688562385,0.1672801534630714,6.002412801901142,0.3064353059007336,1.0269029944631185
0.0666383531681237,0.1543874228860078,2.036666171490112,0.8047185617966596,0.2665296385677116,3.3289401479086154,0.4875554146218431,1.2922739764185027
0.218074288411765,0.1777188004735931,8.199541885469303,2.3294124107057077,0.4239425213217903,11.348689906382159,0.8197356102071484,3.149148020912856
0.1789532186159441,0.181900505599613,7.76004667915557,1.073788437197151,0.4550930233866666,9.649781863954946,0.8159467476022236,1.8897351847993744
0.0742552891781359,0.1049106511650534,2.342507473169903,0.6379168048234192,0.4641542138543911,3.623744432190903,0.6433201541975804,1.2812369590209995
0.1155541779500916,0.0691226144995962,0.3476365539822497,1.0700359653668925,0.3748046737659238,1.977153985564754,0.5594814662156116,1.629517431582504
0.1335952729360634,0.121577621907749,2.84697705594991,1.4840916085408704,0.5490446962075666,5.135286255542159,0.8042175910513789,2.2883091995922493
0.1502291816636338,0.1497940549933774,6.019620994617327,1.6135438400036168,0.4173672957029614,8.350555366980917,0.7173905323599725,2.3309343723635894
0.0796234930685336,0.1198809444505456,5.464295908803977,0.9592113351701448,0.3140981939092964,6.937109875402497,0.5136026314283756,1.4728139665985205
0.1120426563554685,0.1118883324389306,4.356003840738942,0.6661461764031209,0.3608599665230335,5.606940972459496,0.5847909553174326,1.2509371317205535
0.1556729492869182,0.1619569622785932,27.97752133079988,0.3655968451108782,0.0710490795127005,28.731797166988972,0.38867899107821186,0.75427583618909
0.1048129824316639,0.1312585196224965,15.165573764276331,1.3978510682658098,0.3439211635338406,17.14341749813014,0.579992665588001,1.9778437338538108
0.2054425502366636,0.1883940795746388,19.32866743551116,0.9837977918224756,0.6182950291739662,21.324596886318908,1.0121316589852687,1.9959294508077443
0.1016548755238964,0.3139917265699493,10.326466462672094,2.21982935489557,0.449772864465787,13.411715284127297,0.8654194665596326,3.0852488214552025
0.2165900521388818,0.1807793070590387,9.833763496263332,1.6708330996479566,1.0135292645430047,12.915495219652213,1.4108986237409251,3.0817317233888817
0.1536211787596981,0.0925724750024834,4.949637413667224,2.353093870777444,0.302391854592987,7.851316792799835,0.5485855083551685,2.9016793791326125
0.1476505941330569,0.1592691963097366,7.98319444414299,2.4563243634412792,0.2438447959575912,10.990283393984653,0.5507645864003847,3.007088949841664
0.1300487968407735,0.0891763731506671,3.062945360879158,2.0558625461804976,0.2717121538332227,5.609745230884319,0.4909373238246633,2.546799870005161
0.135165457489816,0.1152654267630001,1.142837928738171,0.9045602420212088,0.5799002093608163,2.877729264373012,0.8303310936136324,1.7348913356348412
0.1425610907528273,0.2339375303629542,3.956970641934933,1.1769024599282456,0.4540190134874458,5.964390736466406,0.8305176346032273,2.007420094531473
0.1292487254760932,0.1062951097370332,11.875124194150358,0.4426051462305586,0.3684702726604255,12.92174344825447,0.6040141078735519,1.0466192541041104
0.0886291139008268,0.2105768607563642,19.887374715943977,4.55586165903894,0.4786987257575377,25.221141075397647,0.7779047004147287,5.333766359453669
0.1151469102549923,0.0914425627702839,6.234547866690368,0.7516969894835406,0.4052582299497256,7.598092559148911,0.6118477029750018,1.3635446924585424
0.3334659096588528,0.2179039405018977,11.315876174280053,1.3010382657321125,0.3392266892309697,13.507510979403884,0.8905965393917201,2.1916348051238326
0.0758159433292241,0.0732921259747767,2.7720346158174536,1.222607236472899,0.4804176635735659,4.624167585167919,0.6295257328775667,1.8521329693504658
0.1317491445861978,0.131383612266326,6.303532402203589,1.9246583369866768,0.6111740198790417,9.102497515921831,0.8743067767315655,2.7989651137182423
0.0986532121508454,0.1048823861786895,3.0956818115515747,1.6272410710702834,0.3966678318523355,5.323126312803728,0.6002034301818704,2.2274445012521538
0.2246800394438977,0.1446758980765058,5.406819227874642,1.3773317061998716,0.5159081406083975,7.669415012203315,0.885264078128801,2.2625957843286724
0.120624240926497,0.0987576522289801,10.959305793523288,0.7480783081069545,0.2451904979000614,12.171956492685782,0.4645723910555385,1.212650699162493
0.0955391601982784,0.1290786738520281,6.782803969308662,0.9222844539039377,0.3928912509076869,8.322597508170594,0.6175090849579934,1.539793538861931
0.1131250137627996,0.131961117257062,4.963034194262047,2.8742791112817723,0.3438122890026172,8.426211725566297,0.5888984200224787,3.463177531304251
0.1415561315746168,0.2040883870563231,13.61144850035938,1.439541976236753,0.4720091739629981,15.86864416919007,0.8176536925939379,2.257195668830691
0.1358473961707882,0.2329698937344651,11.00538789041816,1.2444723502656163,0.7061412296473346,13.324818760236363,1.074958519552588,2.3194308698182042
0.1198724264076141,0.0820364859601785,2.2801936968676357,1.0158806951771508,0.4993206498019702,3.9973039542145496,0.7012295621697628,1.7171102573469137
0.1106995902580503,0.1514081344239562,1.8797770056605128,1.2028538037801784,0.3875216523710849,3.7322601864937823,0.6496293770530914,1.8524831808332698
0.1601391129124362,0.1236798470028471,2.206749404365673,1.0447931959081962,0.4180676969049559,3.953429257094108,0.7018866568202391,1.7466798527284355
0.1549503799605995,0.2161599934237111,1.295389285389364,1.0820898305118138,0.3116464572559974,3.0602359465414857,0.682756830640308,1.7648466611521219
0.2323960148258155,0.135837977964044,3.4806786339919915,4.572764193927898,0.3323111397890215,8.75398796049877,0.700545132578881,5.273309326506778
