time,completations,s,d,w,l,q,x,a,c,u
127.76314816975146,134,0.7402797371932562,0.07010445696852204,0.8103841941617781,0.8499436932580832,0.0735266574779505,0.3882085178900664,127.73566395052677,127.73566395052677,0.4926148045473727
127.71631700691736,138,0.781539837084292,0.1278359050267053,0.9093757421109973,0.9825984287075913,0.13812921721450708,0.4222346057465421,254.94535709761064,254.94535709761064,1.0270983079301337
126.5061995898024,118,0.7687610455445234,0.03863591219128398,0.8073969577358073,0.7531080794597291,0.03603805705454938,0.3585350112025899,382.27852252461827,382.27852252461827,1.4673699783739436
128.10383614636714,130,0.6697209252496429,0.11825958430171245,0.7879805095513553,0.7996440178780796,0.12001003577798475,0.3398169910500474,510.448269022687,510.448269022687,1.910453509941281
129.02144753286746,129,0.7840262633462577,0.11787310054949138,0.9018993638957491,0.9017494390838657,0.11785350623206148,0.39194796642590213,639.9009816042486,639.9009816042486,2.3754035738352153
128.04033556105958,124,0.7997713577898825,0.10485902592566551,0.904630383715548,0.8760846110656637,0.10155018071302939,0.3872672151763172,768.4002487775988,768.4002487775988,2.857824557004368
127.20236996794529,138,0.7850709618100207,0.2152113959700983,1.000282357780119,1.0851917728297196,0.23347971151290414,0.4258560306584077,896.0110546194478,896.0110546194478,3.440783990852238
127.07144946594599,136,0.689756664239101,0.07707188133543706,0.766828545574538,0.820708999829939,0.0824872613452675,0.3691108692423357,1024.106063383526,1024.106063383526,3.938589677982776
127.8654637106988,137,0.8116205033888215,0.1454284279053175,0.957048931294139,1.025419216278385,0.15581763867142986,0.43480078880347756,1152.8714207430617,1152.8714207430617,4.430018226028032
128.4604665931854,147,0.8277766846572562,0.1880784464078375,1.0158551310650936,1.1624642835797585,0.21522210182769774,0.4736210908760304,1281.3017650812533,1281.3017650812533,4.968550357285935
128.75906945185852,166,0.74061420361031,0.19824231756169536,0.9388565211720055,1.2104015909560717,0.2555798582215245,0.47741086636727365,1407.7876065525918,1407.7876065525918,5.5295595299947955
127.71797067768875,157,0.6867685588177986,0.18200933692978535,0.868777895747584,1.0679634894652947,0.22373880313280137,0.42211234316624674,1534.6998189890153,1534.6998189890153,6.120070016262514
127.98875036048639,118,0.7656810170355672,0.20563036325818956,0.9713113802937569,0.8955063828019685,0.18958215308864712,0.3529621148566607,1663.9887503604864,1663.9887503604864,6.573313994263687
128.5073122582305,143,0.7108550541512457,0.12767410043435992,0.8385291545856057,0.9330960783366765,0.14207282092575346,0.3955116287054615,1791.9031570983045,1791.9031570983045,7.06133660162086
127.28412455353805,122,0.7706704483423623,0.14028906119718337,0.9109595095395456,0.8731415685471308,0.13446504445145768,0.36933826204783654,1918.9483185933777,1918.9483185933777,7.60250740937071
128.34156641390427,126,0.7742170687295868,0.059976187310499404,0.8341932560400863,0.8189735656028555,0.058881933673393394,0.3800458159647311,2046.432502082828,2046.432502082828,8.014674187475928
127.97508716563152,144,0.6897427299405763,0.14896983460661772,0.838712564547194,0.9437353157531639,0.16762368878553047,0.38805581348381674,2176.0366036128053,2176.0366036128053,8.515893018725535
127.84869010218108,128,0.6663648510480265,0.1516702706528612,0.8180351217008877,0.8190032724936562,0.15184977357257287,0.33357674946054167,2304.286326149089,2304.286326149089,8.966356652013202
128.07629101000248,142,0.7641142392338699,0.2314931977708082,0.995607437004678,1.103844083395756,0.25665979100603037,0.4235921461948628,2432.160968065404,2432.160968065404,9.436313805691556
127.47273925815989,124,0.8037242997646709,0.12788534479946725,0.9316096445641381,0.9062298072374592,0.12440136493041462,0.39091422115352226,2558.2663891996594,2558.2663891996594,9.981494679086941
127.80897536710972,157,0.8074441620382875,0.15978455484612933,0.9672287168844169,1.1881396288067865,0.19627866539721878,0.4959304817047838,2688.283646411686,2688.283646411686,10.52641833142488
127.77043808847384,174,0.765674552262205,0.18066017223701164,0.9463347244992166,1.2887350511300928,0.24602615784625506,0.5213544466419189,2816.0703806977294,2816.0703806977294,11.127575848042845
128.1238381457979,148,0.8240445726861849,0.17504404303378665,0.9990886157199715,1.1540796565764242,0.2021990501058845,0.47594030323526987,2944.179093147394,2944.179093147394,11.648175545482315
127.28447728027459,141,0.76571674425406,0.11759620668036527,0.8833129509344252,0.9784942260281031,0.13026777102930437,0.4241132274993994,3071.2844772802746,3071.2844772802746,12.248801567441705
127.80845632088585,131,0.7179348223857309,0.09604256630368686,0.8139773886894177,0.8343034646361548,0.09844087432051206,0.36793129515782136,3200.157051531885,3200.157051531885,12.657855217193159
127.95065143355396,126,0.790024529436139,0.18618425555598425,0.9762087849921233,0.9613261482524288,0.18334581291472846,0.38899016766885014,3328.4478754057022,3328.4478754057022,13.13831569164864
126.14883477002559,121,0.7489389465164914,0.07869717602404706,0.8276361225405384,0.7938556944261249,0.0754851070663422,0.3591852936798914,3456.0010016188544,3456.0010016188544,13.793907384366747
128.0041075268573,126,0.8085165496775965,0.17379726988595698,0.9823138195635533,0.9669341371646101,0.17107619769963972,0.39792896973248515,3583.4581053109373,3583.4581053109373,14.120475494677924
127.64209725926412,130,0.7917711067896213,0.14878772184760447,0.9405588286372257,0.9579335528660387,0.15153624278752387,0.4031986550392574,3712.1842000158144,3712.1842000158144,14.661817694535278
128.10686185184022,143,0.6997494824338335,0.10542826559670372,0.8051777480305372,0.8987841580377676,0.11768489027359674,0.3905496338820854,3839.918824589336,3839.918824589336,15.118651316064406
126.00672770394749,152,0.762786592805053,0.5175683594433615,1.2803549522484146,1.5444727141792305,0.6243348436142779,0.4600689352824763,3965.9230359190287,3965.9230359190287,15.934932435825985
