Time,Set1.csv_mean,Set1.csv_var,Set2.csv_mean,Set2.csv_var,Set3.csv_mean,Set3.csv_var,Set4.csv_mean,Set4.csv_var,Set5.csv_mean,Set5.csv_var,Total_mean,Total_var,Tesse_mean,Tesse_var,Socio_mean,Socio_var
0,0.3745950850545679,0.10147802105569627,0.10862741741240382,0.04860868132179806,0.0,0.0,0.02746393583406824,0.054494407039152176,0.0,0.0,0.5106864383010398,0.12864224392179505,0.5106864383010398,0.12864224392179505,0.4832225024669717,0.11372257326192227
1,0.7250545138194836,0.14119446257410637,0.3818170954727116,0.0702727695441491,0.04468909873944348,0.08867286726978023,0.02746393583406824,0.054494407039152176,0.0053714049151344515,0.010658032686427236,1.1843960487808411,0.17776053180338341,1.139706950041397,0.15833541658191067,1.1122430142073287,0.15108985759453386
2,0.8299480858696167,0.11640533092919234,0.6242039974778345,0.07879531666977779,0.04468909873944348,0.08867286726978023,0.14329339481999592,0.12828418972394748,0.009337720581953278,0.013184707773694728,1.6514722974888438,0.18576765998187178,1.6067831987494003,0.17216599238211963,1.4634898039294046,0.13552284731901393
3,0.8104915481262073,0.09636368614817097,0.6767178904984921,0.0541204329024794,0.2016946375974563,0.2059585673987704,0.5556603074046106,0.2468863505266583,0.08641000262352087,0.0560585482995493,2.3309743862502867,0.2984244035021686,2.1292797486528303,0.25007589153499515,1.5736194412482205,0.12087225539290461
4,0.7780404271671106,0.07958484109476885,0.7120418222547087,0.04515567779713076,0.5856685636660932,0.38966107689875523,1.433805971427705,0.3628334585088725,0.19945026310040898,0.07429169733339243,3.709007047616024,0.515546635057747,3.123338483949933,0.36512578491652137,1.689532512522228,0.10590502444453348
5,0.794238695092011,0.07588925640061976,0.7347614075104714,0.0405621406153088,1.4550035845169458,0.6202056639384886,2.050976901446345,0.4188853786070276,0.38863008015084904,0.1065937785718073,5.423610668716621,0.7140680747514125,3.968607084199675,0.43875495192925684,1.9176301827533317,0.11787472426993967
6,0.7847303798493606,0.06695193711915205,0.7456066093383849,0.031305546300900204,3.8484038349773284,1.0895791316137022,2.577742086450647,0.43286130368602627,0.5079419120001342,0.09518763108438656,8.46442482261586,1.2213459105339868,4.6160209876385245,0.44473535244048107,2.03827890118788,0.11125058482346663
7,0.7780152265434013,0.06216621781207355,0.7591172231579228,0.03113609775312156,5.66050526522913,1.2068961016228326,3.2355298670970165,0.38713121151820423,0.6520080823637252,0.09532554818131912,11.085175664391196,1.3340287294108089,5.424670399162069,0.40293144978331247,2.189140532065049,0.10846403780787066
8,0.7810359658718545,0.058056329523554176,0.7533574228348086,0.027180476360302453,7.335554978732236,1.1767836634496958,3.3697285496142153,0.4256026941021513,0.7192724807444552,0.08467724504300977,12.958949397797573,1.285061352977871,5.6233944190653355,0.42882421494639955,2.2536658694511176,0.09453061854884658
9,0.777930675046737,0.050788499311953485,0.7553751854702965,0.02685786687196565,8.878839797842668,1.0375161389185013,3.7325675112735435,0.3623393818204271,0.7761719580268425,0.08992869020415285,14.920885127660084,1.1358502028247794,6.042045329817421,0.3625752457624049,2.309477818543875,0.09770935366451493
