time,completations,s,d,w,l,q,x,a,c,u
512.3442887807078,380,5.226405306576539,17.267243890706997,22.493649197283517,16.683286770522102,12.806920701866392,0.9690915171639308,509.9994074040102,509.9994074040102,0.9774575355064419
511.4103160796277,382,5.351476725643141,89.46786429152577,94.81934101716888,70.8256895289512,66.82838238648563,0.999326785616397,1022.5708689642958,1022.5708689642958,1.9720751727432841
511.3357692377581,412,4.97015003066146,126.39029702599365,131.36044705665512,105.84142053668312,101.83680764663436,1.0011532225121886,1535.335769237758,1535.335769237758,2.980786069264392
511.6379049873342,389,5.267888285342685,103.40259749902339,108.67048578436594,82.62253159520077,78.6173386198113,1.0012982438473912,2047.4582423005247,2047.4582423005247,3.9740435487268457
511.6672847168161,427,4.796528147348776,113.75423180177889,118.5507599491277,98.9337720239315,94.93094131715398,1.0007076766943703,2559.667284716816,2559.667284716816,4.981002159903546
511.41479500095375,425,4.816447155615413,109.11318620382444,113.92963335943983,94.6787121746676,90.67610986213042,1.0006505781342976,3065.3911977385687,3065.3911977385687,5.980277406151493
512.2010887611118,404,5.077092017427307,52.472074695478014,57.549166712905276,45.392061559746814,41.38749144061289,1.0011425297834913,3583.801426754759,3583.801426754759,6.965903550129846
511.94721797942657,423,4.839206895681463,61.05024653326137,65.88945342894282,54.44162566298556,50.443196830903275,0.9996072080205739,4095.9472179794266,4095.9472179794266,7.970747517229924
510.31353933421997,388,5.261508467575189,63.49600323565251,68.75751170322772,52.277497037718554,48.277083315436016,1.0001034305706298,4604.684707252157,4604.684707252157,8.998865059078963
513.2582758831913,405,5.085873941224409,60.32420094108965,65.41007488231399,51.61354735440462,47.600404180723714,1.0032857934202386,5121.258275883191,5121.258275883191,9.944553394114267
511.86853657762185,400,5.106102606944305,73.24129356897063,78.34739617591487,61.224623572098736,57.23445637715146,0.9975417987368315,5631.868536577622,5631.868536577622,10.97405289187399
512.0078250092256,467,4.386632020827441,55.194605275235354,59.58123729606279,54.343774563914074,50.34274752162327,1.0002567605727037,6143.912595008982,6143.912595008982,11.997429179545943
512.2135617639196,398,4.987298098872239,15.939348886344336,20.926646985216575,16.260415814517152,12.385187215501617,0.9688071497538836,6654.771075211782,6654.771075211782,12.94269160513391
512.115537339474,396,5.003609573056781,18.799295118614523,23.802904691671316,18.40590564166678,14.536799460619537,0.9672765452618088,7165.443152863106,7165.443152863106,13.925894664481417
511.7057469548645,387,5.28775410455184,39.93621026648104,45.223964371032864,34.20261413076033,30.20351728527961,0.9997742113701837,7679.515213568492,7679.515213568492,14.942678192287111
512.4967965942578,410,5.002839508677008,83.36418841373548,88.3670279224124,70.69406421455673,66.69176759106888,1.00057415587198,8191.824221109354,8191.824221109354,15.919325732799523
511.20529899710345,393,5.198050915041685,98.52216460470106,103.72021551974275,79.73713257516499,75.74101983216512,0.9990281857499669,8703.205298997103,8703.205298997103,16.948672885778816
511.6213211789709,420,4.880152592208262,90.69742873992571,95.57758133213397,78.461515378195,74.45530218128549,1.0015532992273763,9215.62132117897,9215.62132117897,17.9453089492094
511.75351019422123,407,5.033240186882067,117.18897436560287,122.22221455248493,97.20390838937733,93.20094853613953,1.000739963309456,9727.753510194221,9727.753510194221,18.940257644964234
514.970597674921,424,4.860538561138677,95.4198051130833,100.28034367422195,82.56561813400938,78.56370354077328,1.0004786483090329,10239.280026746457,10239.280026746457,19.817575139430915
512.0799442094412,430,4.735900897995537,115.99876165379278,120.73466255178833,101.3824217963032,97.40562596751522,0.9941989571969918,10752.079944209441,10752.079944209441,20.94219122094885
512.4697543582606,407,5.035772089914687,130.14860107164267,135.18437316155746,107.36251146304748,103.36313545467821,0.9998440020922964,11264.185440321404,11264.185440321404,21.90490496749814
512.1941384092715,375,5.45839342987745,173.70419428882428,179.16258771870164,131.17286074997563,127.17652931486572,0.9990828587774949,11776.194138409272,11776.194138409272,22.94809728334158
511.8576096096822,413,4.955578413563299,191.6451981291316,196.6007765426946,158.6302893377889,154.63180646603436,0.9996207179386869,12287.857609609682,12287.857609609682,23.931384175087288
511.7644698170534,421,4.8637231373621965,184.0780523336469,188.94177547100918,155.43182882885674,151.43071589195918,1.0002782342243663,12798.883138188829,12798.883138188829,24.94160317876971
511.8119217259373,412,4.971334484552271,199.61590929243098,204.5872437769832,164.68929475474835,160.68745399901022,1.0004601889345452,13311.811921725937,13311.811921725937,25.93559414821238
511.9364013317954,415,4.936139562466103,207.81779828343986,212.75393784590597,172.4684628331923,168.46699328913508,1.0003673860143045,13821.95553171392,13821.95553171392,26.93407021270919
512.1916129163528,418,4.901963747220645,200.08126628360637,204.9832300308265,167.2869839961213,163.2864873174054,1.0001241696790826,14336.191612916353,14336.191612916353,27.92414613168965
511.9040732328649,388,5.275386188830021,202.25540996330986,207.5307961521403,157.29890250433903,153.30039976076912,0.9996256858923924,14847.904073232865,14847.904073232865,28.932255302205046
512.1834137656169,409,5.010066900075815,169.50073324990328,174.51080014997893,139.35421441429895,135.35346525480224,1.000187289874207,15360.183413765617,15360.183413765617,29.916431682539745
512.3702772984798,388,5.2802769436377615,207.02838255374917,212.30865949738666,160.77388469783986,156.77531658234815,0.9996420288729784,15872.37027729848,15872.37027729848,30.909116958253215
511.1864142919876,404,5.057585514787206,246.3507297639573,251.40831527874468,198.69260319308304,194.69550058853886,0.9992756511360095,16381.912709747428,16381.912709747428,31.975525928169905
512.0966147529434,401,5.1163112265432,275.58844752982606,280.7047587563696,219.8073664587864,215.80101151962373,1.0015887347906116,16895.887178210436,16895.887178210436,32.923707280489445
