time,Set1.csv,Set2.csv,Set3.csv,Set4.csv,Set5.csv,Total,Socio,Tesse
256.6137750108743,0.8810164897848468,0.7538668641024078,6.205272363581636,3.743436384966275,0.9424243429959468,12.526016445431113,2.577307696883201,6.320744081849476
256.42195408185546,0.8749422335462803,0.7785139395034498,6.178437417425262,3.2355475132325764,0.9339367402759636,12.001377843983533,2.5873929133256937,5.82294042655827
255.28617347029424,0.7334742846360228,0.7248915754144537,5.509682142600599,3.7692396760031377,1.025653916591188,11.762941595245401,2.4840197766416647,6.253259452644802
256.76740733035376,0.8310959582748031,0.8179617770657511,6.815548452723359,3.8967929552626495,0.9402538158039654,13.301652959130527,2.5893115511445197,6.486104506407169
256.53256512152825,0.9292341933319648,0.8012298047448194,7.478761113503515,3.61448007752411,0.936391557382682,13.760096746487092,2.666855555459466,6.281335632983576
255.3537378321978,0.8778198434170134,0.7876341752145023,8.6551753933573,3.5761272573182623,1.0140347520660429,14.910791421373123,2.6794887706975583,6.255616028015821
254.784394384837,0.8859967786671429,0.7758995784746849,6.680942452366399,3.738365652154613,0.8386599470128894,12.919864408675728,2.500556304154717,6.23892195630933
255.9576790051335,0.9072285614358466,0.8359195371620913,7.873431325744214,3.922233424890276,0.887283252172994,14.426096101405422,2.630431350770932,6.552664775661208
256.21240952582275,0.8055035795911838,0.757206181746137,6.224949666594077,3.6893388153964186,0.9261228199137856,12.403121063241603,2.4888325812511063,6.1781713966475245
254.49924431547333,0.826417461543577,0.7221136923998294,5.585343439671966,3.636903296827292,0.9361881587532792,11.706966049195943,2.4847193126966856,6.121622609523977
257.0258926563042,0.9073064946388104,0.8241815794332978,6.795794314489036,3.390185448100335,0.9059628598963472,12.823430696557825,2.6374509339684553,6.02763638206879
256.05498598221084,0.7584311174680755,0.764891902145309,5.611700538144129,3.2916760595220067,0.8780564689372687,11.30475608621679,2.401379488550653,5.6930555480726595
255.90379172165603,0.7208598032048156,0.7546587487205554,6.960286613019367,3.629919391808988,1.0281848179652926,13.093909374719019,2.5037033698906637,6.133622761699651
255.86810580580917,0.6902137152554266,0.7578627162035214,7.197560114444741,3.393755866405115,0.9094428120372272,12.94883522434603,2.357519243496175,5.7512751099012895
256.02719117443075,0.75529821647332,0.8177949622388734,7.527442646296282,3.620603129374224,0.9645012373720272,13.685640191754725,2.5375944160842208,6.158197545458444
255.5330606110756,0.7518740261982544,0.776234722983753,6.223409999590314,3.2126578844803184,0.91327138134705,11.87744801459969,2.4413801305290574,5.654038015009376
256.03778874068485,0.7361971175531542,0.7250790536177554,6.585226392001185,3.691873995056655,0.92554447374793,12.66392103197668,2.38682064491884,6.078694639975495
256.0168822417036,0.7795408138675449,0.7532741656351166,7.3776922071091,3.541386356471337,0.8879264149701789,13.339819958053278,2.4207413944728406,5.962127750944177
255.93123227559136,1.0010410164553236,0.8310959553241033,6.731314478967449,3.379055011332836,0.9096844937351544,12.852190955814866,2.7418214655145814,6.1208764768474175
256.4431669482801,0.8142432730698133,0.7810803701994481,7.755832266632733,3.455274088327398,0.8985884875726307,13.705018485802023,2.493912130841892,5.94918621916929
256.17513308662,0.7786534338865682,0.7533244844089767,6.170299647572192,3.5910147268655987,0.9332695592588806,12.226561851992216,2.4652474775544255,6.056262204420024
254.2536296116159,0.7652098781582416,0.7135783176326275,6.111093784197536,3.643543399364613,1.012865794232103,12.246291173585123,2.4916539900229724,6.135197389387585
255.82538499803104,0.8249242585339411,0.7651348991028899,5.8105942040442,3.385503306102646,0.8705050475660646,11.656661715349742,2.4605642052028958,5.846067511305542
256.1598399051936,0.6956675953538962,0.729715236454174,5.73217213751962,3.5564829958770194,0.8931331549359433,11.607171120140654,2.3185159867440137,5.874998982621032
256.3140457361842,0.8427471290752194,0.7725739913147078,6.497459388136693,3.451827985795754,0.9380975002460208,12.502705994568394,2.5534186206359477,6.005246606431702
256.584900379432,0.8671279843748693,0.7827328934184404,8.283036773662147,3.9593025785512905,0.8566564477914064,14.748856677798154,2.506517325584716,6.465819904136007
256.1499791862052,0.9532791504587156,0.8395184344854827,7.156745413859207,3.7068952557331656,0.8914074641835745,13.547845718720145,2.6842050491277725,6.391100304860938
256.2542386907025,0.8428410416791718,0.8024712964285549,6.880009189539665,3.401855447827666,0.9541514894454498,12.881328464920507,2.5994638275531767,6.001319275380843
256.0534347231878,0.8374809106202411,0.7630977234481716,6.233773262094001,3.9946914658522954,0.8814789970228285,12.710522359037537,2.4820576310912412,6.476749096943537
259.4901854963173,0.6944463675161888,0.7760258247427974,6.227202680380858,3.7362435559311744,0.959921022135401,12.39383945070642,2.430393214394387,6.166636770325561
256.05364004749936,0.7950469890556291,0.7128807795421642,5.803416068790758,3.3220436306728818,0.9079000327446884,11.541287500806122,2.415827801342482,5.737871432015364
256.00226833607303,0.9273250911487756,0.7692778760810962,7.484827230302128,3.667047663412664,0.8964786918222913,13.744956552766954,2.593081659052163,6.2601293224648265
256.12443786678523,0.8186533839434819,0.8111624011928201,6.442947550349642,3.948242865690177,0.9192657663226864,12.940271967498807,2.5490815514589884,6.497324417149166
255.4705187804229,0.8544356909107775,0.7807426487135513,5.841534280548695,3.5312610958373964,0.9501609501014384,11.958134666111857,2.585339289725767,6.1166003855631645
255.4431806490065,0.6725671832164186,0.7330940065329489,6.301742242714988,3.548578423095179,0.8805544874441926,12.136536343003726,2.2862156771935602,5.834794100288739
256.219669265367,0.902783050427607,0.7952967138300128,7.598307999902643,3.770952492612644,0.9496440509415603,14.016984307714464,2.64772381519918,6.4186763078118245
