Time,Set1.csv_mean,Set1.csv_var,Set2.csv_mean,Set2.csv_var,Set3.csv_mean,Set3.csv_var,Set4.csv_mean,Set4.csv_var,Set5.csv_mean,Set5.csv_var,Total_mean,Total_var,Tesse_mean,Tesse_var,Socio_mean,Socio_var
50,0.3779673519457708,0.013619106592672658,0.3728594961707857,0.011048618757255853,0.7905030070376221,0.0219392483193786,0.6120308044922373,0.015113926828877099,0.3529042794778472,0.009786130008152472,2.506264939124263,0.05870915817577406,1.7157619320866413,0.04108147578738736,1.1037311275944037,0.029035421199271518
51,0.3774871869085717,0.013348291323674417,0.3735728194162699,0.010696302314044717,0.7926075204833289,0.021908549889568422,0.6145600615869444,0.014996352233734255,0.355130788295858,0.009541564481817696,2.5133583766909737,0.05772692717563066,1.7207508562076443,0.040016027835441594,1.1061907946207,0.02820221672079769
52,0.37671030161195945,0.01334527586915318,0.3731444402193172,0.01035237633230694,0.7945778530095629,0.021406412448048775,0.616328805471547,0.014731941621342831,0.3566726889952048,0.009311651713145075,2.5174340893075913,0.05657864900303168,1.7228562362980282,0.03925760443953935,1.1065274308264812,0.027762908391693167
53,0.37644348837138963,0.01311692858162313,0.3736824370721063,0.01025759336566707,0.7972019675409061,0.02117611483305664,0.6186770422339463,0.014574032095778764,0.3582646829560463,0.009098973554828596,2.524269618174395,0.05574240867039694,1.7270676506334883,0.038512477430986215,1.1083906083995423,0.027312043582076218
54,0.3769877772964675,0.013306723202621065,0.37187306329321784,0.010454574478883408,0.7995541302116844,0.021229060692028782,0.6213119495965835,0.01427374482038201,0.3595601066475165,0.0090004691802599,2.529287027045469,0.05573720964840693,1.7297328968337844,0.03846802986583249,1.1084209472372022,0.02750419102212478
55,0.3771566721284373,0.013242369141482807,0.37244597928293494,0.010344360306648835,0.8011186732900002,0.021006312708990626,0.6233696259169045,0.014168939170248905,0.361253069172667,0.008884929230492588,2.535344019790944,0.05510913639503505,1.7342253465009436,0.03806309636873388,1.1108557205840393,0.027191819513354303
56,0.3765114128575101,0.013214650979953292,0.3745627492194194,0.010278448914024671,0.8023451764796011,0.020873417427938187,0.6263836025063338,0.013992099329445583,0.36208241300403693,0.00884937996622436,2.541885354066901,0.05471242798029332,1.7395401775873003,0.037837266306988186,1.113156575080967,0.027155492183105815
57,0.37695352502897256,0.012937452212032314,0.3739185461792647,0.010538506261726616,0.8043592039797721,0.020736585298781907,0.6293770679105465,0.013970983756370962,0.364575500111228,0.008661631638861002,2.549183843209783,0.05438504990280399,1.744824639230012,0.03760806949054605,1.1154475713194656,0.026863395962051208
58,0.37796800920299833,0.012743320871415812,0.37498474191740233,0.01036117355564595,0.8065110797068764,0.020510543079687034,0.6315503553625709,0.013909539587553239,0.36568966396930647,0.00848934196894128,2.5567038501591557,0.05364430098028946,1.750192770452278,0.03714430612541222,1.1186424150897067,0.026413890134593956
59,0.3764228214790724,0.012265437635860188,0.3752417776818804,0.010230279493216287,0.8082011587363536,0.020469008286815832,0.6348373754615302,0.013881909796221528,0.36624117929515626,0.008413814216295293,2.5609443126539917,0.05293436070011774,1.752743153917639,0.036503841212910546,1.1179057784561084,0.02585025040427597
