Slot,time,completations,s,d,w,l,q,x,a,c,u
36,179.94991693795575,186,2.9778660605849514,0.5173501737378312,3.4952162343227835,3.6127286449828526,0.5347439662804312,0.7694961696756051,180.0291703336832,180.0291703336832,0.8671475701571183
37,184.4088904493722,191,2.989582372106402,0.5104052051371125,3.499987577243515,3.6250835066818072,0.5286480166093336,0.7741088725181182,185.17008829775932,185.17008829775932,0.8597092644803067
38,189.57510573629003,197,2.9938370127467477,0.5011738337570855,3.495010846503834,3.6318963615350564,0.5208027966893857,0.7777733912114174,188.59288485087833,188.59288485087833,0.8578270770738567
39,194.9273112725254,203,2.988084782755505,0.4923465560973538,3.4804313388528594,3.624569369857789,0.5127365182194972,0.7779582129095728,194.63980343965358,194.63980343965358,0.8600360961448537
40,199.93576849524766,209,2.9891055047770534,0.48706934735577617,3.47617485213283,3.6337697329681675,0.5091509856565604,0.7811546868279017,199.93576849524766,199.93576849524766,0.8662723138146129
41,204.93322085430452,215,2.9961465522254325,0.49572597193615087,3.491872524161584,3.663401129231661,0.5200771427978742,0.7858309966084465,204.93322085430452,204.93322085430452,0.8629999545681563
42,209.51452396442522,223,2.970837314658972,0.5163320637225809,3.487169378381554,3.711622262097336,0.5495659586334274,0.790514075865977,210.02912790462227,210.02912790462227,0.879880917559129
43,214.666553987952,230,2.970021048969817,0.5379283361478883,3.5079493851177057,3.758519171190287,0.5763520912575798,0.7955417699831766,214.666553987952,214.666553987952,0.879919764251514
44,219.53781274210212,235,2.989744154381525,0.5488847261256954,3.538628880507221,3.7878567547544857,0.5875430251783756,0.8000784323940274,217.34893603578308,217.34893603578308,0.8744771165968934
45,224.4929638437967,240,3.0053192004054603,0.5474913060397429,3.552810506445204,3.798223814890448,0.585309718397079,0.8032285241233421,222.92902448522463,222.92902448522463,0.8747021352531451
46,229.1463269718955,245,2.990765101443377,0.5363180140797481,3.527083115523126,3.771107199152928,0.5734236074648235,0.799420897922026,229.1463269718955,229.1463269718955,0.8817429708379885
47,234.0230287725849,250,2.991978050794882,0.5281011651548437,3.520079215949727,3.760398318930412,0.5641551260197062,0.7990607982276763,233.84475220061796,233.84475220061796,0.882480092606221
48,239.14321774299705,254,2.998824484281613,0.5197846113728778,3.518609095654491,3.737202830718423,0.5520762517739314,0.7962816447361227,239.14321774299705,239.14321774299705,0.877116026742838
49,245.0105673144291,258,3.0206656578730384,0.5122926861298913,3.5329583440029304,3.720260977898956,0.5394522957529928,0.7952021705364907,244.91733385057674,244.91733385057674,0.8831095513148346
50,249.43250523085769,263,3.0144628967663323,0.5025532814506158,3.5170161782169487,3.7083188256276527,0.529888888776477,0.7946074842127938,249.25670325307865,249.25670325307865,0.8674537906283714
51,254.65182199634953,268,3.028339525050015,0.5130894784276724,3.5414290034776874,3.727061387157975,0.5399842779078463,0.7967692773125321,255.0420015817502,255.0420015817502,0.8726140088866841
52,260.0833337041592,274,3.038602820248472,0.5139845378472792,3.5525873580957508,3.742680940968995,0.5414870740250832,0.8002984667359779,259.50224690117795,259.50224690117795,0.8698629654951822
53,264.99901082642486,280,3.03213876912402,0.5084829732014082,3.5406217423254276,3.741048258102641,0.537267033761309,0.8009453060853331,264.2084496449341,264.2084496449341,0.8712886918901876
54,269.3756343571284,287,3.0137291619032425,0.503644087008865,3.5173732489121066,3.747503462393465,0.5365958703596431,0.8027268980084556,268.9790613705851,268.9790613705851,0.8712899520729308
55,273.4331360469092,289,3.0352761959551207,0.5001586608011912,3.535434856756311,3.7367112427342666,0.5286332704999824,0.8020194930585712,273.4331360469092,273.4331360469092,0.8750520054133673
56,279.7414410266778,296,3.040489283341301,0.5026603187774796,3.5431496021187803,3.7490772850031244,0.5318749121047986,0.8043005932245816,279.498076338083,279.498076338083,0.8708947180198876
57,284.48721564341326,303,3.0305712542339696,0.5067717682092487,3.5373430224432183,3.7675328691878636,0.539749546987974,0.8069458305499724,283.85009211625265,283.85009211625265,0.8803207200618627
58,289.7430079151422,308,3.042687787663574,0.5044449841174741,3.547132771781047,3.7706410987095533,0.5362305590258984,0.8086026349209139,289.7430079151422,289.7430079151422,0.8732403818300296
59,295.0483339795097,315,3.0370705585705884,0.4962543224087601,3.5333248809793467,3.7722542693150363,0.5298118767537777,0.8106105981403151,294.68145351471026,294.68145351471026,0.8722261587011028
60,300.10223783370685,320,3.051316850223846,0.5091079042645648,3.560424754488409,3.796492587528193,0.5428634272795233,0.8134072900621678,299.31311144340606,299.31311144340606,0.8810056410892209
61,304.68695827107996,327,3.0369388437266425,0.5002615986081991,3.537200442334839,3.7962391012955923,0.5368970948843141,0.8148355016028204,304.68695827107996,304.68695827107996,0.8828394093571836
62,309.06632395664093,331,3.0322884796609597,0.4942161412232057,3.5265046208841624,3.776771971042743,0.5292894439312339,0.8118706317778782,309.06632395664093,309.06632395664093,0.8782898124569755
63,314.6888538453779,336,3.034303227182158,0.48893023487937964,3.5232334620615338,3.7618315005028355,0.5220412382327042,0.8099475655675339,313.9938376707874,313.9938376707874,0.8806944850837639
